sale,date,item,quantity,total
237,Monday 14th of June 2004,Pressboard Covers with Storage Hooks  9 1/2 x 11  Light Blue,10,14.7
237,Monday 14th of June 2004,Tennsco Stur-D-Stor Boltless Shelving  5 Shelves  24 Deep  Sand,10,1353.1
237,Monday 14th of June 2004,Jabra BIZ 2300 Duo QD Duo Corded Headset,3,304.77
237,Monday 14th of June 2004,Recycled Desk Saver Line While You Were Out Book  5 1/2 X 4,10,89.5
238,Tuesday 15th of June 2004,Vinyl Coated Wire Paper Clips in Organizer Box  800/Box,10,91.8
238,Tuesday 15th of June 2004,Presstex Flexible Ring Binders,6,21.84
239,Wednesday 15th of December 2004,Xerox 1967,9,46.62
239,Wednesday 15th of December 2004,Design Ebony Sketching Pencil,3,3.33
239,Wednesday 15th of December 2004,DMI Arturo Collection Mission-style Design Wood Chair,1,135.88
240,Thursday 31st of May 2001,Square Credit Card Reader  4 1/2 x 4 1/2 x 1  White,9,53.91
240,Thursday 31st of May 2001,OIC Binder Clips  Mini  1/4 Capacity  Black,5,6.2
240,Thursday 31st of May 2001,6 Cubicle Wall Clock  Black,1,3.24
240,Thursday 31st of May 2001,Self-Adhesive Removable Labels,1,3.15
240,Thursday 31st of May 2001,Eureka Sanitaire  Commercial Upright,3,99.42
241,Saturday 1st of July 2000,Global Leather Highback Executive Chair with Pneumatic Height Adjustment  Black,9,1447.02
242,Saturday 31st of March 2001,Sharp AL-1530CS Digital Copier,8,3199.92
242,Saturday 31st of March 2001,Turquoise Lead Holder with Pocket Clip,1,6.7
242,Saturday 31st of March 2001,While You Were Out Pads  50 per Pad  4 x 5 1/4  Green Cycle,3,11.34
243,Wednesday 7th of May 2003,Newell 341,7,29.96
243,Wednesday 7th of May 2003,Newell 318,7,19.46
244,Wednesday 26th of September 2001,Wilson Jones Hanging View Binder  White  1,8,45.44
244,Wednesday 26th of September 2001,Deflect-o SuperTray Unbreakable Stackable Tray  Letter  Black,1,29.18
244,Wednesday 26th of September 2001,Global Geo Office Task Chair  Gray,6,388.68
244,Wednesday 26th of September 2001,Sauder Mission Library with Doors  Fruitwood Finish,5,556.65
244,Wednesday 26th of September 2001,Globe Weis Peel & Seel First Class Envelopes,2,25.56
245,Friday 22nd of October 2004,Xerox 1883,3,79.14
245,Friday 22nd of October 2004,Newell 333,2,5.56
245,Friday 22nd of October 2004,Flexible Leather- Look Classic Collection Ring Binder,4,22.72
246,Thursday 24th of June 2004,Lenovo 17-Key USB Numeric Keypad,5,135.95
246,Thursday 24th of June 2004,Wilson Jones  Snap  Scratch Pad Binder Tool for Ring Binders,8,46.4
246,Thursday 24th of June 2004,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,7,587.58
246,Thursday 24th of June 2004,GBC VeloBinder Electric Binding Machine,3,108.87
247,Friday 29th of June 2001,Xerox 1912,2,37.94
248,Sunday 7th of November 2004,HP Standard 104 key PS/2 Keyboard,6,87
249,Tuesday 17th of June 2003,OIC Bulk Pack Metal Binder Clips,2,5.58
249,Tuesday 17th of June 2003,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,1,26.22
250,Saturday 13th of October 2001,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,6,1495.14
250,Saturday 13th of October 2001,High-Back Leather Managers Chair,8,831.92
250,Saturday 13th of October 2001,Acco Six-Outlet Power Strip  4 Cord Length,5,43.1
250,Saturday 13th of October 2001,Lexmark MX611dhe Monochrome Laser Printer,4,4079.96
250,Saturday 13th of October 2001,Trav-L-File Heavy-Duty Shuttle II  Black,5,174.3
251,Tuesday 22nd of January 2002,Convenience Packs of Business Envelopes,9,32.58
251,Tuesday 22nd of January 2002,Flexible Leather- Look Classic Collection Ring Binder,7,39.76
251,Tuesday 22nd of January 2002,Poly String Tie Envelopes,4,6.52
251,Tuesday 22nd of January 2002,PureGear Roll-On Screen Protector,5,79.95
252,Thursday 7th of September 2000,Staple envelope,9,40.14
252,Thursday 7th of September 2000,Tenex Personal Project File with Scoop Front Design  Black,6,80.88
252,Thursday 7th of September 2000,Eldon 100 Class Desk Accessories,2,2.7
252,Thursday 7th of September 2000,6 Cubicle Wall Clock  Black,4,12.96
252,Thursday 7th of September 2000,AT&T 1070 Corded Phone,6,535.14
253,Friday 23rd of May 2003,Sharp AL-1530CS Digital Copier,5,1999.95
253,Friday 23rd of May 2003,GBC DocuBind 300 Electric Binding Machine,1,157.79
254,Sunday 19th of May 2002,Insertable Tab Post Binder Dividers,2,4.82
254,Sunday 19th of May 2002,Fellowes PB200 Plastic Comb Binding Machine,6,815.94
255,Tuesday 4th of September 2001,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,4,335.76
256,Monday 16th of October 2000,Design Ebony Sketching Pencil,3,3.33
257,Saturday 29th of May 2004,Trav-L-File Heavy-Duty Shuttle II  Black,10,348.6
257,Saturday 29th of May 2004,Premier Electric Letter Opener,8,741.52
257,Saturday 29th of May 2004,Array Parchment Paper  Assorted Colors,2,14.56
257,Saturday 29th of May 2004,Staple remover,3,11.04
257,Saturday 29th of May 2004,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,1,31.58
258,Saturday 20th of March 2004,Advantus Push Pins  Aluminum Head,5,29.05
259,Monday 23rd of July 2001,Belkin 19 Vented Equipment Shelf  Black,2,82.36
259,Monday 23rd of July 2001,Bravo II Megaboss 12-Amp Hard Body Upright  Replacement Belts  2 Belts per Pack,3,7.8
259,Monday 23rd of July 2001,6 Cubicle Wall Clock  Black,3,9.72
259,Monday 23rd of July 2001,American Pencil,2,4.66
260,Saturday 25th of October 2003,Cisco SPA525G2 IP Phone - Wireless,7,111.72
261,Tuesday 26th of December 2000,3M Office Air Cleaner,7,181.86
261,Tuesday 26th of December 2000,Newell 330,4,23.92
261,Tuesday 26th of December 2000,OSullivan Living Dimensions 2-Shelf Bookcases,8,822.64
261,Tuesday 26th of December 2000,Newell 343,3,8.82
262,Saturday 10th of February 2001,#10 Gummed Flap White Envelopes  100/Box,4,16.52
262,Saturday 10th of February 2001,Microsoft Natural Keyboard Elite,2,95.8
262,Saturday 10th of February 2001,Turquoise Lead Holder with Pocket Clip,2,13.4
262,Saturday 10th of February 2001,Sony 32GB Class 10 Micro SDHC R40 Memory Card,8,167.6
262,Saturday 10th of February 2001,Executive Impressions 14 Two-Color Numerals Wall Clock,8,145.44
263,Tuesday 5th of December 2000,Bagged Rubber Bands,7,8.82
263,Tuesday 5th of December 2000,Howard Miller 13-3/4 Diameter Brushed Chrome Round Wall Clock,1,41.4
263,Tuesday 5th of December 2000,BIC Brite Liner Highlighters,8,26.48
263,Tuesday 5th of December 2000,Aluminum Document Frame,6,73.32
263,Tuesday 5th of December 2000,Turquoise Lead Holder with Pocket Clip,4,26.8
264,Monday 9th of September 2002,Newell 350,7,22.96
264,Monday 9th of September 2002,Bose SoundLink Bluetooth Speaker,7,1114.4
264,Monday 9th of September 2002,Bevis Round Bullnose 29 High Table Top,8,1662.16
264,Monday 9th of September 2002,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,10,839.4
265,Monday 25th of November 2002,Avery Non-Stick Binders,8,28.72
265,Monday 25th of November 2002,Xerox 1939,9,170.73
266,Saturday 15th of November 2003,Bush Advantage Collection Round Conference Table,10,1169.3
267,Tuesday 10th of October 2000,Chromcraft Rectangular Conference Tables,7,1327.06
267,Tuesday 10th of October 2000,File Shuttle I and Handi-File,6,106.86
267,Tuesday 10th of October 2000,Xerox 1912,5,94.85
268,Monday 16th of September 2002,Clear Mylar Reinforcing Strips,5,74.75
268,Monday 16th of September 2002,Tyvek Side-Opening Peel & Seel Expanding Envelopes,9,814.32
268,Monday 16th of September 2002,Newell 350,1,3.28
268,Monday 16th of September 2002,Adjustable Depth Letter/Legal Cart,9,1633.14
268,Monday 16th of September 2002,Xerox 223,1,6.48
269,Thursday 23rd of November 2000,Imation USB 2.0 Swivel Flash Drive USB flash drive - 4 GB - Pink,2,6.06
269,Thursday 23rd of November 2000,Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,8,519.84
269,Thursday 23rd of November 2000,Samsung Galaxy Note 3,2,351.98
270,Tuesday 6th of July 2004,Hon Multipurpose Stacking Arm Chairs,4,866.4
270,Tuesday 6th of July 2004,Microsoft Arc Touch Mouse,2,95.92
271,Friday 5th of March 2004,Jabra BIZ 2300 Duo QD Duo Corded Headset,8,812.72
271,Friday 5th of March 2004,Tenex File Box  Personal Filing Tote with Lid  Black,6,74.46
271,Friday 5th of March 2004,Longer-Life Soft White Bulbs,3,9.24
272,Wednesday 14th of March 2001,Lumber Crayons,1,7.88
272,Wednesday 14th of March 2001,Avery Hidden Tab Dividers for Binding Systems,7,4.2
272,Wednesday 14th of March 2001,Deflect-o DuraMat Lighweight  Studded  Beveled Mat for Low Pile Carpeting,2,68.24
272,Wednesday 14th of March 2001,Convenience Packs of Business Envelopes,7,25.34
273,Sunday 26th of May 2002,50 Colored Long Pencils,2,20.32
273,Sunday 26th of May 2002,Square Ring Data Binders  Rigid 75 Pt. Covers  11 x 14-7/8,3,49.53
273,Sunday 26th of May 2002,OSullivan Living Dimensions 2-Shelf Bookcases,2,205.66
274,Thursday 24th of February 2000,Global Deluxe Steno Chair,5,346.4
275,Thursday 15th of August 2002,Ideal Clamps,5,10.05
275,Thursday 15th of August 2002,Riverside Palais Royal Lawyers Bookcase  Royale Cherry Finish,2,880.98
275,Thursday 15th of August 2002,Vinyl Coated Wire Paper Clips in Organizer Box  800/Box,4,36.72
275,Thursday 15th of August 2002,SAFCO Boltless Steel Shelving,3,340.92
276,Wednesday 20th of October 2004,Bretford Rectangular Conference Table Tops,2,413.74
276,Wednesday 20th of October 2004,While You Were Out Pads  50 per Pad  4 x 5 1/4  Green Cycle,5,18.9
276,Wednesday 20th of October 2004,Acme 10 Easy Grip Assistive Scissors,3,52.59
276,Wednesday 20th of October 2004,Avery Recycled Flexi-View Covers for Binding Systems,4,19.24
276,Wednesday 20th of October 2004,GBC DocuBind P400 Electric Binding System,6,6532.74
277,Monday 14th of January 2002,C-Line Peel & Stick Add-On Filing Pockets  8-3/4 x 5-1/8  10/Pack,4,25.48
277,Monday 14th of January 2002,Panasonic Kx-TS550,4,147.16
278,Friday 12th of October 2001,Newell Chalk Holder,8,26.4
279,Friday 4th of June 2004,Avery Recycled Flexi-View Covers for Binding Systems,5,24.05
279,Friday 4th of June 2004,HP Standard 104 key PS/2 Keyboard,3,43.5
279,Friday 4th of June 2004,Hon Racetrack Conference Tables,3,787.53
279,Friday 4th of June 2004,Chromcraft Rectangular Conference Tables,10,1895.8
279,Friday 4th of June 2004,Xerox 216,1,5.18
280,Sunday 3rd of September 2000,Decoflex Hanging Personal Folder File  Blue,4,61.68
281,Friday 10th of September 2004,HP Standard 104 key PS/2 Keyboard,6,87
281,Friday 10th of September 2004,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,3,839.43
282,Saturday 10th of May 2003,Nokia Lumia 521 (T-Mobile),3,89.97
282,Saturday 10th of May 2003,Imation USB 2.0 Swivel Flash Drive USB flash drive - 4 GB - Pink,7,21.21
282,Saturday 10th of May 2003,Canon PC1080F Personal Copier,3,1799.97
282,Saturday 10th of May 2003,Eldon Fold N Roll Cart System,10,111.8
283,Friday 13th of October 2000,Xerox 1930,10,51.8
283,Friday 13th of October 2000,Xerox 21,9,46.62
283,Friday 13th of October 2000,Advantus Push Pins  Aluminum Head,4,23.24
283,Friday 13th of October 2000,Telescoping Adjustable Floor Lamp,3,47.97
283,Friday 13th of October 2000,Fellowes PB200 Plastic Comb Binding Machine,8,1087.92
284,Friday 10th of September 2004,Cardinal Hold-It CD Pocket,5,8
284,Friday 10th of September 2004,Global Deluxe Steno Chair,7,484.96
285,Sunday 18th of April 2004,Space Solutions HD Industrial Steel Shelving.,8,735.84
285,Sunday 18th of April 2004,1.7 Cubic Foot Compact Cube Office Refrigerators,2,416.32
285,Sunday 18th of April 2004,Global Value Mid-Back Managers Chair  Gray,6,255.72
286,Sunday 8th of December 2002,Deflect-o SuperTray Unbreakable Stackable Tray  Letter  Black,1,29.18
287,Tuesday 2nd of April 2002,Eldon Wave Desk Accessories,2,11.78
288,Tuesday 16th of October 2001,Avery Poly Binder Pockets,6,21.48
288,Tuesday 16th of October 2001,Staple remover,4,14.72
288,Tuesday 16th of October 2001,Nortel Meridian M3904 Professional Digital phone,4,492.76
288,Tuesday 16th of October 2001,Deluxe Rollaway Locking File with Drawer,8,2661.6
288,Tuesday 16th of October 2001,Sony Micro Vault Click 8 GB USB 2.0 Flash Drive,10,469.9
289,Wednesday 28th of May 2003,Globe Weis Peel & Seel First Class Envelopes,4,51.12
290,Sunday 23rd of June 2002,Recycled Desk Saver Line While You Were Out Book  5 1/2 X 4,10,89.5
290,Sunday 23rd of June 2002,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,3,5987.97
290,Sunday 23rd of June 2002,Safco Industrial Wire Shelving,2,153.58
290,Sunday 23rd of June 2002,Stanley Bostitch Contemporary Electric Pencil Sharpeners,2,27.16
291,Wednesday 28th of August 2002,DMI Arturo Collection Mission-style Design Wood Chair,3,407.64
292,Wednesday 3rd of November 2004,Binney & Smith inkTank Erasable Desk Highlighter  Chisel Tip  Yellow  12/Box,1,2.02
292,Wednesday 3rd of November 2004,Safco Industrial Shelving,7,516.95
292,Wednesday 3rd of November 2004,GBC Wire Binding Strips,3,76.17
293,Thursday 13th of November 2003,Speck Products Candyshell Flip Case,4,111.96
294,Tuesday 30th of November 2004,Acco 7-Outlet Masterpiece Power Center  Wihtout Fax/Phone Line Protection,1,24.32
295,Sunday 16th of July 2000,Avery 505,1,11.84
295,Sunday 16th of July 2000,Nortel Meridian M3904 Professional Digital phone,3,369.57
295,Sunday 16th of July 2000,Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,5,324.9
295,Sunday 16th of July 2000,C-Line Peel & Stick Add-On Filing Pockets  8-3/4 x 5-1/8  10/Pack,6,38.22
296,Saturday 28th of September 2002,GBC Wire Binding Strips,10,253.9
296,Saturday 28th of September 2002,Advantus Push Pins  Aluminum Head,4,23.24
296,Saturday 28th of September 2002,BIC Brite Liner Highlighters  Chisel Tip,5,32.4
296,Saturday 28th of September 2002,Avery 519,10,73.1
297,Sunday 21st of December 2003,Xerox 205,1,6.48
297,Sunday 21st of December 2003,Canon Color ImageCLASS MF8580Cdw Wireless Laser All-In-One Printer  Copier  Scanner,10,3359.9
298,Sunday 19th of August 2001,Rogers Deluxe File Chest,3,65.94
298,Sunday 19th of August 2001,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,6,268.74
298,Sunday 19th of August 2001,Nokia Lumia 521 (T-Mobile),9,269.91
298,Sunday 19th of August 2001,Prang Dustless Chalk Sticks,8,13.44
298,Sunday 19th of August 2001,Newell 345,8,158.72
299,Wednesday 1st of March 2000,Microsoft Arc Touch Mouse,10,479.6
